,label,area,bbox-0,bbox-1,bbox-2,bbox-3,bbox_area,centroid-0,centroid-1,slice,inertia_tensor-0-0,inertia_tensor-0-1,inertia_tensor-1-0,inertia_tensor-1-1,solidity,mean_intensity
0,1,16278,0,30,514,648,317652,406.8961174591473,469.9356186263669,"(slice(0, 514, None), slice(30, 648, None))",30650.66411895322,7132.280431803838,7132.280431803838,25410.806200677198,0.05549911013221867,0.6852354555288143
3,4,172806,1,0,506,645,325725,305.35028297628554,368.14116407995095,"(slice(1, 506, None), slice(0, 645, None))",35755.2729907725,4821.32660788933,4821.32660788933,17279.07841175169,0.5669581193917224,0.43102928751793074
7,8,77383,68,16,411,397,130683,233.4483413669669,211.93433958362948,"(slice(68, 411, None), slice(16, 397, None))",10205.865104472878,2828.601721017722,2828.601721017722,6498.70458943973,0.7578395847615317,0.6479879935122802
30,31,60,133,472,146,492,260,138.45,479.6166666666667,"(slice(133, 146, None), slice(472, 492, None))",23.703055555555558,13.544166666666664,13.544166666666664,12.180833333333332,0.4580152671755725,0.5594117647058824
32,33,92,133,503,163,510,210,146.94565217391303,506.17391304347825,"(slice(133, 163, None), slice(503, 510, None))",2.687145557655956,8.56663516068053,8.56663516068053,57.66008979206049,0.6764705882352942,0.5546035805626598
47,48,472,145,431,182,465,1258,161.74576271186442,444.73093220338984,"(slice(145, 182, None), slice(431, 465, None))",39.2687042157426,23.66162740591784,23.66162740591784,76.10909221488077,0.6090322580645161,0.5540212695247589
50,51,692,146,466,184,501,1330,166.32369942196533,482.6257225433526,"(slice(146, 184, None), slice(466, 501, None))",59.323789217815495,-0.037338367469677405,-0.037338367469677405,76.80273313508638,0.6926926926926927,0.5561260342287203
76,77,86,158,418,176,433,270,166.45348837209303,424.06976744186045,"(slice(158, 176, None), slice(418, 433, None))",16.55327203893997,10.020010816657653,10.020010816657653,18.759464575446188,0.4942528735632184,0.5497036023711809
81,82,571,160,0,280,10,1200,230.5183887915937,2.4273204903677756,"(slice(160, 280, None), slice(0, 10, None))",4.615996147723682,-30.53154664597397,-30.53154664597397,1153.6367021325536,0.6503416856492027,0.5680368119226674
145,146,1593,222,280,274,331,2652,241.80979284369116,305.8449466415568,"(slice(222, 274, None), slice(280, 331, None))",144.00420704360613,-0.941003661262842,-0.941003661262842,137.47857327786465,0.7988966900702106,0.49217778762478004
191,192,132,262,434,285,448,322,274.40909090909093,440.0,"(slice(262, 285, None), slice(434, 448, None))",9.787878787878784,3.007575757575757,3.007575757575757,27.181129476584015,0.6111111111111112,0.5527629233511586
203,204,316,268,360,339,381,1491,307.4651898734177,372.90822784810126,"(slice(268, 339, None), slice(360, 381, None))",19.152970277199127,66.33705535971801,66.33705535971801,400.463978128505,0.40932642487046633,0.5548026805658972
209,210,431,273,282,306,322,1320,285.8329466357309,304.0278422273782,"(slice(273, 306, None), slice(282, 322, None))",141.1500368753398,-3.5568553140863823,-3.5568553140863823,42.296919159565235,0.39288969917958066,0.522824257313134
223,224,197,282,0,330,8,384,307.4162436548223,2.2081218274111674,"(slice(282, 330, None), slice(0, 8, None))",3.3323198227215305,-6.365147259656262,-6.365147259656262,171.66430467159682,0.6985815602836879,0.5538966855777844
310,311,166,332,0,361,15,435,346.43975903614455,3.7951807228915664,"(slice(332, 361, None), slice(0, 15, None))",12.271302075772969,-7.722601248366964,-7.722601248366964,55.40299753229788,0.5337620578778135,0.5508858965272856
435,436,92,372,263,393,282,399,381.04347826086956,272.5108695652174,"(slice(372, 393, None), slice(263, 282, None))",29.858577504725897,-6.010396975425332,-6.010396975425332,26.15028355387523,0.3333333333333333,0.5468030690537083
442,443,203,376,125,405,142,493,389.95566502463055,134.64039408866995,"(slice(376, 405, None), slice(125, 142, None))",12.841126938290177,6.991312577349606,6.991312577349606,58.79113785823485,0.49391727493917276,0.5531343571911522
444,445,66,376,287,386,303,160,381.07575757575756,293.3636363636364,"(slice(376, 386, None), slice(287, 303, None))",17.201101928374655,-4.275482093663912,-4.275482093663912,5.554866850321398,0.5945945945945946,0.548781937017231
449,450,59,377,322,386,335,117,380.50847457627117,327.89830508474574,"(slice(377, 386, None), slice(322, 335, None))",10.15914966963516,-0.7127262280953749,-0.7127262280953749,3.673656995116347,0.6629213483146067,0.5540711199734131
452,453,94,378,243,388,261,180,381.32978723404256,252.0212765957447,"(slice(378, 388, None), slice(243, 261, None))",22.233589859665013,3.421910366681756,3.421910366681756,4.646559529198733,0.7286821705426356,0.5545682102628284
482,483,105,391,143,409,155,216,398.46666666666664,147.97142857142856,"(slice(391, 409, None), slice(143, 155, None))",7.094421768707487,-1.184761904761905,-1.184761904761905,14.648888888888889,0.6862745098039216,0.5533893557422969
485,486,87,392,198,405,212,182,398.2758620689655,204.2528735632184,"(slice(392, 405, None), slice(198, 212, None))",9.223411282864314,-0.1141498216409037,-0.1141498216409037,7.073325406262384,0.7565217391304347,0.5558260085643453
488,489,97,393,251,406,264,169,399.07216494845363,256.340206185567,"(slice(393, 406, None), slice(251, 264, None))",10.636837070889573,-0.8723562546498035,-0.8723562546498035,8.644276756297161,0.7185185185185186,0.5536284616939559
513,514,55,406,247,416,257,100,410.3090909090909,251.29090909090908,"(slice(406, 416, None), slice(247, 257, None))",5.951735537190083,1.6353719008264462,1.6353719008264462,4.35900826446281,0.7857142857142857,0.5527272727272728
518,519,59,408,530,417,545,135,412.9491525423729,538.7118644067797,"(slice(408, 417, None), slice(530, 545, None))",11.866130422292445,1.7604136742315424,1.7604136742315424,4.217753519103708,0.6704545454545454,0.5619142572283151
579,580,534,428,296,460,348,1664,443.80337078651684,323.2996254681648,"(slice(428, 460, None), slice(296, 348, None))",158.55441933538134,-13.379139839245887,-13.379139839245887,31.69354669023272,0.5028248587570622,0.5560255562899317
596,597,128,438,271,452,294,322,445.5078125,282.5625,"(slice(438, 452, None), slice(271, 294, None))",29.88671875,-9.69091796875,-9.69091796875,9.84368896484375,0.6564102564102564,0.5511029411764705
